t	f	mask
2038.35381266	1.00364069035	False
2038.37424433	1.0035766262	False
2038.39467601	1.00410143359	False
2038.41510768	1.00360702616	False
2038.43553936	1.00358119465	False
2038.45597114	1.00357975722	False
2038.47640281	1.00347064738	False
2038.49683439	1.00356804897	True
2038.51726616	1.00357077826	False
2038.53769784	1.00343448775	False
2038.55812942	1.00341779924	False
2038.57856119	1.00332839113	False
2038.59899287	1.00332593802	False
2038.61942445	1.00306290749	False
2038.63985622	1.00305483488	False
2038.6602879	1.00308545403	False
2038.68071968	1.00380142799	False
2038.70115125	1.00320947231	False
2038.72158293	1.00303394642	False
2038.74201471	1.00314359278	False
2038.76244628	1.00294957231	False
2038.78287796	1.00321068583	False
2038.80330974	1.00298867104	True
2038.82374132	1.00301420759	False
2038.84417309	1.00292157396	False
2038.86460477	1.00300080114	False
2038.88503635	1.00280318939	False
2038.90546813	1.00286554017	False
2038.92589981	1.00294477719	False
2038.94633148	1.0026781309	False
2038.96676316	1.00255565862	False
2038.98719484	1.00259091008	False
2039.00762652	1.00246673495	False
2039.0280582	1.00270584266	False
2039.04848988	1.00258133763	False
2039.06892156	1.00255280048	True
2039.08935323	1.00228865482	False
2039.10978491	1.00217907265	False
2039.13021669	1.00212899734	False
2039.15064827	1.00201376341	False
2039.17107995	1.00225262617	False
2039.19151173	1.00218664416	False
2039.21194331	1.00218682016	False
2039.23237509	1.00229913813	False
2039.25280677	1.00218255617	False
2039.27323835	1.00213114932	False
2039.29367013	1.00208579267	False
2039.31410181	1.00194832501	False
2039.33453339	1.00196873018	False
2039.35496517	1.00164407885	True
2039.37539685	1.00198468306	False
2039.39582863	1.0019977091	False
2039.41626021	1.00196384563	False
2039.43669189	1.0018564954	False
2039.45712367	1.0018754292	False
2039.47755525	1.00204017224	False
2039.49798693	1.00181421923	False
2039.51841871	1.00185855397	False
2039.53885029	1.00174686985	False
2039.55928197	1.00167425313	False
2039.57971376	1.00172835721	False
2039.60014544	1.00153215837	False
2039.62057712	1.00163266695	False
2039.6410088	1.00159074392	False
2039.66144038	1.00159587347	False
2039.68187216	1.00156029465	False
2039.70230385	1.0014746133	False
2039.72273543	1.00156306297	False
2039.74316721	1.00148486304	False
2039.76359889	1.0013438015	False
2039.78403067	1.00149138079	False
2039.80446226	1.00124200591	False
2039.82489394	1.00132062333	False
2039.84532572	1.00128635726	False
2039.86575731	1.0011554592	False
2039.88618899	1.00118727183	False
2039.90662077	1.00113376684	False
2039.92705235	1.00112031977	False
2039.94748404	1.00110614508	False
2039.96791582	1.00101106323	False
2039.9883474	1.00088263578	False
2040.00877919	1.00080289364	False
2040.02921087	1.00078481534	False
2040.04964245	1.00066249385	True
2040.07007424	1.00086862313	False
2040.09050592	1.00065109533	False
2040.11093751	1.00080646067	False
2040.13136929	1.00069863485	False
2040.15180097	1.00049064582	False
2040.17223276	1.00056970542	False
2040.19266434	1.00051670512	False
2040.21309603	1.00031266097	False
2040.23352781	1.0004572098	False
2040.2539595	1.00036585626	True
2040.27439108	1.00033755438	False
2040.29482287	1.00037720691	False
2040.31525455	1.00005042813	False
2040.33568624	1.00008053172	False
2040.35611792	1.000284103	False
2040.37654961	1.00003596474	False
2040.3969813	1.00009534818	False
2040.41741298	1.00015281211	False
2040.43784457	0.999928898148	False
2040.45827635	0.999981733474	False
2040.47870804	0.99996001594	False
2040.49913962	0.999781603047	False
2040.51957141	0.999677835292	False
2040.5400031	0.999762060378	False
2040.56043488	0.999631051256	False
2040.58086647	0.999814137729	False
2040.60129816	0.999771338761	True
2040.62172994	0.999518428823	False
2040.64216153	0.999419297786	False
2040.66259322	0.99946657986	False
2040.68302501	0.999348774085	False
2040.70345659	0.999492639137	False
2040.72388838	0.999356464063	False
2040.74432007	0.999343199759	False
2040.76475176	0.999153300982	False
2040.78518344	0.999293736057	False
2040.80561513	0.999265218294	True
2040.82604682	0.999195864218	False
2040.84647851	0.999172709634	False
2040.8669102	0.999012402267	False
2040.88734198	0.999029273446	True
2040.90777357	0.99896498051	False
2040.92820526	0.998710053521	True
2040.94863705	0.998889976038	False
2040.96906874	0.998715339364	False
2040.98950033	0.998793667381	False
2041.00993212	0.998746405287	False
2041.03036371	0.998592936026	False
2041.0507954	0.998744089443	False
2041.07122719	0.998479021328	False
2041.09165877	0.998469278522	False
2041.11209056	0.998450580365	False
2041.13252225	0.99833321433	False
2041.15295384	0.998324864265	False
2041.17338563	0.99819211618	False
2041.19381732	0.998477310812	False
2041.21424891	0.9983113061	False
2041.23468071	0.998382476108	False
2041.2551124	0.998300188317	False
2041.27554419	0.998293216921	False
2041.29597578	0.998345007268	False
2041.31640747	0.99798251226	True
2041.33683926	0.998213113885	False
2041.35727085	0.998310446096	False
2041.37770254	0.997862959726	False
2041.39813433	0.998015566947	False
2041.41856592	0.998049065142	False
2041.43899762	0.99803647557	False
2041.45942941	0.99819658196	False
2041.4798611	0.998048879802	False
2041.50029279	0.997913956379	False
2041.52072448	0.997878026569	False
2041.54115618	0.997865472306	False
2041.56158787	0.997890720595	False
2041.58201956	0.997965627769	False
2041.60245125	0.99790346575	False
2041.62288305	0.997804799839	False
2041.64331464	0.997870431444	False
2041.66374643	0.99786268124	False
2041.68417803	0.997718977618	False
2041.70460972	0.997644274726	False
2041.72504151	0.997706439906	False
2041.74547311	0.997776893184	False
2041.7659048	0.997905824388	False
2041.78633659	0.997809494199	False
2041.80676819	0.997693303556	False
2041.82719998	0.997754736613	False
2041.84763168	0.99757329577	False
2041.86806327	0.997641118977	False
2041.88849506	0.997709423421	False
2041.90892676	0.99759963673	False
2041.92935835	0.997599216387	False
2041.94979015	0.997536142073	False
2041.97022184	0.997572440758	False
2041.99065354	0.997678704607	False
2042.01108523	0.997361567254	False
2042.03151693	0.997653111055	False
2042.05194872	0.997652524218	False
2042.07238032	0.997573775208	False
2042.09281201	0.997378456743	False
2042.11324381	0.997490909404	False
2042.13367551	0.997386320576	False
2042.1541071	0.997476797353	False
2042.1745389	0.997547455037	False
2042.1949706	0.997525973744	False
2042.21540229	0.997309571646	False
2042.23583399	0.997620473306	True
2042.25626569	0.997354758898	True
2042.27669748	0.997639407466	False
2042.29712908	0.997655372434	True
2042.31756078	0.99744151862	False
2042.33799247	0.997501716383	False
2042.35842417	0.997628188396	False
2042.37885597	0.997462092996	False
2042.39928757	0.997539452502	True
2042.41971926	0.997370470542	False
2042.44015106	0.997554704903	False
2042.46058266	0.997551697484	False
2042.48101436	0.997514927065	False
2042.50144616	0.997364429042	False
2042.52187775	0.99746239966	False
2042.54230945	0.997531637618	False
2042.56274125	0.997548862104	False
2042.58317285	0.997321953945	False
2042.60360465	0.997415991524	False
2042.62403635	0.997160833929	False
2042.64446805	0.997386471642	False
2042.66489975	0.997425183239	False
2042.68533145	0.997266193699	False
2042.70576315	0.9972392948	False
2042.72619485	0.997170973296	False
2042.74662655	0.997290342761	False
2042.76705835	0.997078884399	False
2042.78749005	0.99708371684	False
2042.80792165	0.997107161197	False
2042.82835345	0.996989849	False
2042.84878515	0.997081277273	False
2042.86921675	0.996950138155	False
2042.88964855	0.997063545246	False
2042.91008025	0.997094377892	False
2042.93051195	0.99701605434	False
2042.95094365	0.996888096957	False
2042.97137536	0.996904335942	False
2042.99180706	0.996925914949	False
2043.01223876	0.996943050797	False
2043.03267046	0.996854521123	False
2043.05310216	0.996879675788	False
2043.07353386	0.996782284624	False
2043.09396547	0.996726190054	False
2043.11439727	0.996838126753	False
2043.13482897	0.996688460378	False
2043.15526077	0.996523809183	False
2043.17569238	0.996784093456	False
2043.19612408	0.997951691933	True
2043.21655588	0.996586007006	False
2043.23698749	0.996646172744	False
2043.25741919	0.996764195418	False
2043.27785099	0.996847875195	True
2043.2982826	0.996946728927	False
2043.3187144	0.996567995886	False
2043.33914611	0.996732526146	False
2043.35957781	0.996578972138	False
2043.38000951	0.996472572831	False
2043.40044122	0.996496755805	False
2043.42087292	0.996340970787	False
2043.44130473	0.996475526942	False
2043.46173633	0.996429031654	False
2043.48216814	0.996577372819	False
2043.50259984	0.996422378563	False
2043.52303145	0.996523048371	False
2043.54346325	0.996390404736	False
2043.56389496	0.996234128605	False
2043.58432657	0.996355475442	False
2043.60475837	0.996231279197	False
2043.62519008	0.996093032591	False
2043.64562188	0.99624582634	False
2043.66605349	0.995952116918	False
2043.6864852	0.991508451898	False
2043.7069169	0.990007311764	False
2043.72734861	0.989565520871	False
2043.74778022	0.988735513562	False
2043.76821202	0.988406342066	False
2043.78864373	0.988805883459	False
2043.80907534	0.99329323746	False
2043.82950715	0.994365450929	False
2043.84993885	0.993964708992	False
2043.87037066	0.994429037526	False
2043.89080227	0.996023406236	False
2043.91123398	0.996336637502	False
2043.93166578	0.996318984514	False
2043.95209739	0.996321485111	False
2043.9725291	0.996527620204	False
2043.99296091	0.996389882667	False
2044.01339262	0.996481209259	False
2044.03382433	0.996335286867	False
2044.05425604	0.996497409692	False
2044.07468775	0.996402943833	False
2044.09511946	0.996368815034	False
2044.11555117	0.996520641455	False
2044.13598287	0.996380528702	False
2044.15641468	0.99636590483	False
2044.17684629	0.996501989129	False
2044.1972781	0.996824592258	False
2044.21770982	0.996557952963	False
2044.23814143	0.9965343607	False
2044.25857324	0.996437477742	False
2044.27900495	0.996498621032	False
2044.29943656	0.996587486208	False
2044.31986837	0.996605633125	False
2044.34030008	0.996734533452	False
2044.36073169	0.996652578677	False
2044.3811635	0.99655515831	False
2044.40159511	0.996519007979	False
2044.42202693	0.99638923431	False
2044.44245864	0.996504195471	False
2044.46289025	0.996597862651	False
2044.48332206	0.996589544058	False
2044.50375378	0.996562616321	False
2044.52418549	0.996526086899	False
2044.5446172	0.996696992236	False
2044.56504891	0.996724904651	False
2044.58548073	0.996767707785	False
2044.60591234	0.996752693364	False
2044.62634405	0.996855632297	False
2044.64677587	0.996710593476	False
2044.66720758	0.996732827951	False
2044.68763919	0.996534100122	False
2044.70807101	0.996655002826	False
2044.72850272	0.996795589122	False
2044.74893444	0.996737649505	False
2044.76936615	0.996835602676	False
2044.78979787	0.99656586123	False
2044.81022968	0.996923083377	False
2044.8306613	0.996727292077	False
2044.85109301	0.996818184738	False
2044.87152483	0.996653523968	False
2044.89195644	0.99698431344	False
2044.91238816	0.996854680488	False
2044.93281997	0.997073852064	True
2044.95325159	0.996703909851	False
2044.9736834	0.996820732203	False
2044.99411512	0.996901558961	False
2045.01454674	0.996858334801	False
2045.03497855	0.996881135723	False
2045.05541027	0.996922510981	False
2045.07584189	0.997022928773	False
2045.0962737	0.996895304989	False
2045.11670532	0.997043457032	False
2045.13713714	0.996944848726	False
2045.15756886	0.997140215145	False
2045.17800047	0.997142028936	False
2045.19843229	0.997092789275	False
2045.21886401	0.997066347306	False
2045.23929573	0.996995286246	True
2045.25972745	0.997182019496	False
2045.28015916	0.997278313295	False
2045.30059098	0.997221644769	False
2045.3210227	0.997234702815	False
2045.34145432	0.997306773505	False
2045.36188614	0.997199459553	False
2045.38231786	0.997449352843	False
2045.40274948	0.997394906453	False
2045.4231813	0.997323612065	False
2045.44361302	0.99751143216	False
2045.46404464	0.997522029402	False
2045.48447646	0.997476147023	False
2045.50490818	0.99752943097	False
2045.52534	0.997617221355	False
2045.54577162	0.997468365011	False
2045.56620334	0.997581995771	False
2045.58663516	0.997529217776	False
2045.60706678	0.997654879902	False
2045.6274985	0.997628489489	False
2045.64793032	0.997613175046	False
2045.66836195	0.997654901839	False
2045.68879377	0.997760258241	False
2045.70922549	0.997699953169	False
2045.72965711	0.997871598137	False
2045.75008893	0.99775300348	False
2045.77052056	0.997694977653	True
2045.79095228	0.997846721912	False
2045.8113841	0.99790138157	False
2045.83181582	0.997886977174	False
2045.85224755	0.997766059349	False
2045.87267927	0.998006538195	False
2045.89311099	0.998029316002	False
2045.91354272	0.997998667804	False
2045.93397444	0.998105440013	False
2045.95440616	0.998008121067	False
2045.97483789	0.997997827667	False
2045.99526961	0.997999979333	False
2046.01570144	0.998109844413	False
2046.03613316	0.998102981587	False
2046.05656479	0.998047525363	False
2046.07699661	0.998100942476	False
2046.09742834	0.998169042906	False
2046.11785996	0.998221870719	False
2046.13829179	0.998099350223	False
2046.15872351	0.998022398852	False
2046.17915514	0.997922417658	False
2046.19958696	0.998400757649	False
2046.22001869	0.998036757683	False
2046.24045052	0.998240764512	False
2046.26088214	0.998388249862	False
2046.28131387	0.998189530185	False
2046.3017457	0.998293192186	False
2046.32217732	0.998414845336	False
2046.34260905	0.998414053131	False
2046.36304078	0.998560151278	False
2046.38347251	0.998647104946	False
2046.40390433	0.99856265175	False
2046.42433596	0.998806784528	True
2046.44476769	0.998507112539	True
2046.46519952	0.998683499876	False
2046.48563115	0.998418022788	False
2046.50606287	0.99874469224	False
2046.5264947	1.00064596117	True
2046.54692643	0.998572988793	False
2046.56735816	0.998752184419	False
2046.58778989	0.998733779898	False
2046.60822162	0.998704429638	False
2046.62865335	0.998765315674	False
2046.64908508	0.998765959237	False
2046.66951681	0.998857492347	False
2046.68994864	0.998835979197	False
2046.71038027	0.998859101726	False
2046.730812	0.998673714495	False
2046.75124383	0.998913261974	False
2046.77167546	0.99891575411	False
2046.79210729	0.99878149211	False
2046.81253902	0.998786432111	False
2046.83297065	0.99885307535	False
2046.85340248	0.998934051525	False
2046.87383422	0.99900984651	False
2046.89426585	0.99880003254	False
2046.91469768	0.998853013373	False
2046.93512941	0.998949640691	False
2046.95556124	0.998890194819	False
2046.97599288	0.998911999947	False
2046.99642461	0.998762494241	False
2047.01685634	0.999019138169	False
2047.03728808	0.998997733812	False
2047.05771981	0.999030296345	False
2047.07815154	0.998973413489	False
2047.09858328	0.999024006123	False
2047.11901511	0.999053925324	False
2047.13944674	0.998972972645	False
2047.15987848	0.9990872164	False
2047.18031031	0.999057436705	False
2047.20074205	0.999022817605	True
2047.22117368	0.999051794793	False
2047.24160552	0.999175872364	False
2047.26203725	0.999025582401	False
2047.28246889	0.999082072189	False
2047.30290072	0.999189631203	False
2047.32333246	0.999078711654	False
2047.34376429	0.999126510237	False
2047.36419593	0.999109445203	False
2047.38462767	0.999282035263	False
2047.4050595	0.999319244589	False
2047.42549114	0.999393621203	False
2047.44592288	0.999340304216	False
2047.46635471	0.999288210086	False
2047.48678635	0.999390150283	False
2047.50721819	0.999428419868	False
2047.52764992	0.999368685094	False
